rank,list_name,entry_id,attestation_status,phase7_status,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
265,core_ehn_500,kw::zozoltic::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,zozoltic,zozoltic,sosoltik,zozoltic,old (thing),,adj,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,102,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::zozoltic::sense-2,0.95,z > s; hard c > k
266,core_ehn_500,kw::totonic::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,totonic,totonic,totonik,totonic,hot,,adj,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,102,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::totonic::sense-1,0.95,hard c > k
267,core_ehn_500,kw::huactoc::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huactoc,huactoc,waktok,huactoc,dry,,adj,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,102,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huactoc::sense-1,0.95,hu> w before vowel; hard c > k
268,core_ehn_500,kw::huehue::4,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huehue,huehue,wewe,huehue,old,,adj,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,102,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huehue::sense-4,0.95,hu> w before vowel
269,core_ehn_500,kw::cecuiliztli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,cecuiliztli,cecuiliztli,sekuilistli,cecuiliztli,the cold,,noun,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,101,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cecuiliztli::sense-1,0.95,soft c > s; z > s; hard c > k
270,core_ehn_500,kw::tlamantli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlamantli,tlamantli,tlamantli,tlamantli,thing,,noun,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,101,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlamantli::sense-1,0.95,identity
271,core_ehn_500,kw::yacatzompilli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yacatzompilli,yacatzompilli,yakatsompilli,yacatzompilli,a cold (sickness),,noun,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,101,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yacatzompilli::sense-1,0.95,z > s; hard c > k
272,core_ehn_500,kw::chichiltik::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,chichiltik,chichiltik,chichiltik,chichiltik,red,,adj,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,99,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chichiltik::sense-3,0.95,identity
273,core_ehn_500,kw::chicahuac::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,chicahuac,chicahuac,chikawak,chicahuac,strong,,adj,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,99,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicahuac::sense-2,0.95,hu> w before vowel; hard c > k
274,core_ehn_500,kw::chilxokotl::1,EHN_attested,approved_core_candidate,safe,safe: general_everyday_candidate,chilxokotl,chilxokotl,chilxokotl,chilxokotl,strawberry,,noun,general,EHN_colloquial,Eastern Huasteca Nahuatl,99,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chilxokotl::sense-1,0.95,identity
